Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01950,625000.0,627400.0,3,1,1386.0,1951,4.0,0.15,2024-08-15,595000.0,2024-06-26,699500.0,5048.0,470000.0,51.0,41.0,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A,02301,525000.0,525300.0,3,2,1344.0,1960,1.0,0.01,2024-09-13,525000.0,2024-07-22,515000.0,5048.0,388900.0,26.0,34.0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A,02301,500000.0,502600.0,3,2,1629.0,1903,3.0,0.08,2024-08-15,500000.0,2024-05-22,499900.0,4030.0,310500.0,71.0,51.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A,02301,490000.0,493300.0,3,1,1131.0,1925,2.0,0.12,2024-08-16,490000.0,2024-07-17,429900.0,3941.0,303600.0,62.0,48.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
A,02301,380000.0,381500.0,2,1,824.0,1925,1.0,0.12,2024-08-22,380000.0,2024-06-25,360000.0,3721.0,286700.0,31.0,39.0,2.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
A,02301,592849.0,595500.0,5,3,2584.0,1988,2.0,0.12,2024-08-19,592849.0,2024-02-28,620000.0,6079.0,468300.0,43.0,43.0,2.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,02301,497500.0,504500.0,3,2,1896.0,1964,1.0,0.15,2024-08-30,497500.0,2024-04-24,450000.0,5840.0,449900.0,25.0,36.0,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A,02301,415000.0,415000.0,2,1,1150.0,1910,2.0,0.15,2024-09-19,410000.0,2024-07-24,440000.0,3800.0,298000.0,53.0,45.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,02301,530000.0,536300.0,3,2,1364.0,1960,4.0,0.17,2024-07-17,484400.0,2024-06-05,484400.0,4984.0,384000.0,26.0,38.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A,02301,275000.0,290900.0,3,1,1374.0,1976,2.0,0.18,2024-08-02,275000.0,2024-06-19,275000.0,4835.0,372500.0,71.0,50.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A,02301,465000.0,465400.0,4,2,1672.0,1870,5.0,0.19,2024-09-09,460000.0,2024-06-06,479900.0,4700.0,362900.0,73.0,49.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A,02301,635000.0,639700.0,5,2,1862.0,1966,4.0,0.19,2024-08-12,635000.0,2024-06-22,599900.0,5531.0,426100.0,17.0,28.0,2.0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
A,02301,410000.0,411600.0,3,2,828.0,1960,1.0,0.19,2024-08-22,410000.0,2024-07-03,370000.0,4649.0,358200.0,52.0,41.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A,02301,280000.0,297000.0,3,2,1152.0,1955,3.0,0.22,2024-08-30,279900.0,2024-09-19,279900.0,4792.0,369200.0,29.0,39.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
